date,high,low,close
"Apr 15, 2016",429.93,424.43,429.71
"Apr 14, 2016",425.37,423.01,424.28
"Apr 13, 2016",426.66,422.92,423.73
"Apr 12, 2016",427.28,422.84,425.19
"Apr 11, 2016",422.74,420.53,422.48
"Apr 10, 2016",422.43,419.26,421.56
"Apr 09, 2016",420.89,416.52,419.41
"Apr 08, 2016",425.36,419.64,420.35
"Apr 07, 2016",423.66,420.52,422.74
"Apr 06, 2016",424.53,422.73,423.41
"Apr 05, 2016",424.26,420.61,424.03
"Apr 04, 2016",422.34,419.60,421.44
"Apr 03, 2016",421.58,419.70,420.90
"Apr 02, 2016",422.08,418.42,420.87
"Apr 01, 2016",418.17,415.83,417.96
"Mar 31, 2016",418.37,415.26,416.73
"Mar 30, 2016",416.83,412.50,414.82
"Mar 29, 2016",426.20,412.68,416.52
"Mar 28, 2016",426.86,423.29,424.23
"Mar 27, 2016",428.80,417.71,426.77
"Mar 26, 2016",418.99,416.26,417.95
"Mar 25, 2016",418.08,415.56,417.18
"Mar 24, 2016",418.68,415.49,416.39
"Mar 23, 2016",419.27,417.36,418.04
"Mar 22, 2016",418.38,412.53,418.09
"Mar 21, 2016",413.42,410.38,413.31
"Mar 20, 2016",414.63,410.40,413.76
"Mar 19, 2016",410.98,407.23,410.44
"Mar 18, 2016",420.55,406.14,409.55
"Mar 17, 2016",421.00,417.89,420.62
"Mar 16, 2016",417.69,415.91,417.01
"Mar 15, 2016",418.13,414.98,416.83
"Mar 14, 2016",416.68,414.20,416.44
"Mar 13, 2016",416.60,411.64,414.07
"Mar 12, 2016",421.80,410.09,411.62
"Mar 11, 2016",423.93,417.01,421.69
"Mar 10, 2016",417.51,413.25,417.13
"Mar 09, 2016",416.03,411.61,414.86
"Mar 08, 2016",416.24,411.09,413.97
"Mar 07, 2016",415.92,406.31,414.32
"Mar 06, 2016",411.91,395.78,407.71
"Mar 05, 2016",411.26,394.04,400.57
"Mar 04, 2016",425.18,410.94,410.94
"Mar 03, 2016",425.37,419.41,421.65
"Mar 02, 2016",435.92,423.99,423.99
"Mar 01, 2016",439.65,432.32,435.12
"Feb 29, 2016",441.51,431.69,437.70
"Feb 28, 2016",435.68,423.82,433.50
"Feb 27, 2016",434.23,428.10,432.52
"Feb 26, 2016",432.15,421.62,432.15
"Feb 25, 2016",427.72,420.42,424.54
"Feb 24, 2016",425.55,413.91,424.95
"Feb 23, 2016",439.86,417.82,420.74
"Feb 22, 2016",439.05,432.92,437.75
"Feb 21, 2016",448.05,429.08,438.80
"Feb 20, 2016",441.98,421.60,437.16
"Feb 19, 2016",423.10,417.60,420.79
"Feb 18, 2016",426.00,415.64,422.37
"Feb 17, 2016",421.17,406.78,416.32
"Feb 16, 2016",408.95,401.43,407.49
"Feb 15, 2016",410.38,397.75,400.18
"Feb 14, 2016",407.23,392.93,407.23
"Feb 13, 2016",391.86,384.64,391.86
"Feb 12, 2016",384.95,379.60,384.26
"Feb 11, 2016",383.13,376.40,379.65
"Feb 10, 2016",385.48,375.78,381.65
"Feb 09, 2016",377.25,372.90,376.03
"Feb 08, 2016",379.88,373.33,373.45
"Feb 07, 2016",380.87,374.90,376.62
"Feb 06, 2016",386.63,372.39,376.52
"Feb 05, 2016",391.09,385.57,386.55
"Feb 04, 2016",391.61,369.99,389.59
"Feb 03, 2016",374.95,368.05,369.95
"Feb 02, 2016",375.88,372.92,374.45
